date,hh,mm,statistic,depth,temp_surface,salinity_surface,pH_surface,temp_bottom,salinity_bottom,pH_bottom,nitrate,nitrite,ammonia
5/27/14,,,Mean,49.6,25.28,22.65,7.95,26.28,28.14,8.05,0.81,0.0502,0.01
5/27/14,,,Stdv,10.92,0.57,9.12,0.19,1.09,4.64,0.15,0.57,0.1127,0.01
5/27/14,,,Min,39,24.29,9.28,7.67,24.71,19.5,7.86,0.33,0,0
5/27/14,,,Max,68,25.64,32.36,8.19,27.98,32.17,8.2,1.86,0.28,0.03
5/27/14,,,N,5,5,6,6,6,6,6,6,6,6
6/5/14,,,Mean,58.5,26.03,23.2,8.3,26.56,25.59,8.45,0.77,0.0444,0.01
6/5/14,,,Stdv,12.47,0.58,4.78,0.19,0.71,2.31,0.11,0.16,0.125,0.01
6/5/14,,,Min,47,24.97,14.01,7.8,25.01,21.9,8.26,0.5,0,0
6/5/14,,,Max,91,26.81,28.7,8.49,27.45,28.71,8.66,1.05,0.4,0.02
6/5/14,,,N,10,10,10,10,10,10,10,10,10,10
6/19/14,,,Mean,65.22,25.88,27.54,8.39,26.39,29.75,8.43,1.07,0.0041,0.01
6/19/14,,,Stdv,11.08,0.55,4.1,0.11,0.47,2.14,0.08,0.42,0.004,0.01
6/19/14,,,Min,55,24.69,19.6,8.19,25.81,27.09,8.34,0.47,0,0
6/19/14,,,Max,93,26.54,32.37,8.53,27.29,33.51,8.56,1.59,0.012,0.03
6/19/14,,,N,9,9,9,9,9,9,9,9,9,8
6/26/14,,,Mean,48.4,25.48,28.16,7.99,25.67,29.03,7.98,0.97,0.0038,0.03
6/26/14,,,Stdv,10.8,0.39,2.03,0.08,0.33,1.31,0.09,0.79,0.0031,0.02
6/26/14,,,Min,37,24.7,24.04,7.83,25.23,26.22,7.84,0.31,0,0
6/26/14,,,Max,70,26.02,30.5,8.11,26.11,30.58,8.14,2.53,0.007,0.06
6/26/14,,,N,10,10,10,10,10,10,10,10,10,10
