Catchment,Reference,Discharge,Runoff,crop_perc,forest_perc,urban_perc,pasture_perc
Aare Oberhasli,Berendt and Opitz (2000),38.98,70.1,,,,
Accotink creek,USA data,71.32,1188.6,0,2,98,
Adige,Provini et al. (1992),6820,570.5,,,,
Agnes,Victoria data,23,343.3,,,,
Ähtävänjoki,NEST data,553.8,258,26,74,,0
Aire,House et al. (1997),1131,580.9,25,40,10,25
Alarconcillo creek,Alvarez-Cobelas (unpubl.),18.3,871.4,,,,
Albany,McKergow et al. (2003),2.52,10,65,13,,5
Alhambra creek,Alvarez-Cobelas (unpubl.),0.66,4.1,76,3,,2
Aliakmon,Voutsa et al. (2001),1324.51,236.5,,,,
Alpenrhein,Berendt and Opitz (2000),158.53,35.6,,,,
Altamaha,USA data,19977.91,546.7,26,63,5,
Alterälven,NEST data,246.4,374,1,65,,7
Amarguillo near Camuñas,Alvarez-Cobelas (unpubl.),1.6,4.7,82,9,,2
Amarguillo upstream Urda,Alvarez-Cobelas (unpubl.),0.05,1.6,66,31,,1
Amazon,Lewis et al. (1999),8460000,1200,,100,,
Amguema,Smith et al. (2003),9200,294.7,,,,
Ammonoosuc,USA data,166.4,726.7,2,94,2,
Amur,Smith et al. (2003),350000,173,,,,
Anabar,Smith et al. (2003),13200,146.4,,,,
Andrews creek,Lewis (2002),30.55,536,,,,
Androscoggin,van Breemen et al. (2002),5408.64,640,,85,,
Angaw lagoon,Smith et al. (2003),109.5,13687.5,,,,
Ängermanälven,NEST data,20052.7,498.4,2,95,,0
Annan,Smith et al. (2003),653,296818.2,,,,
Apalachicola,Fu and Winchester (1994),22391,502.6,20,80,,
Apalachicola bay,Smith et al. (2003),29200,112307.7,,,,
Apalachicola near Sumatra,USA data,47836.33,959.9,30,58,6,
Apure,Lewis et al. (1999),51000,300,,,,100
Argen,Berendt and Opitz (2000),19.72,30.2,,,,
Arno,Smith et al. (2003),2100,246.3,,,,
Ätran,NEST data,2232.3,524.9,29,65,,0
Aulencia at Guadarrama junction,Alvarez-Cobelas (unpubl).,11.32,71.6,10,13,11,43
Aulencia downstream Valmayor reservoir,Alvarez-Cobelas (unpubl).,2.48,24.3,0,18,12,46
Aulencia near Valdemorillo,Alvarez-Cobelas (unpubl).,3.32,24.4,2,16,4,51
Auli,Høyas et al. (1997),,,35,65,,
Aurajoki,NEST data,387.44,309.3,17,80,,0
Avon,Russell et al. (1998),495,185.1,49,,,
Aycocks creek,USA data,153.73,563.1,60,34,0,
Azuer at Vallermoso reservoir,Alvarez-Cobelas (unpubl.),3.25,7,60,7,,12
Azuer near Carrizosa,Alvarez-Cobelas (unpubl.),5.27,68.8,67,6,,9
Azuer near La Solana,Alvarez-Cobelas (unpubl.),3.61,5,65,6,,9
Bachman Run,USA data,19.29,964.3,84,15,1,
Bahía de Altata-Ensenada del Pabellón,Smith et al. (2003),3400,7391.3,,,,
Bahía Nueva,Smith et al. (2003),21.78,375.5,,,,
Baisman Run,Groffman et al. (2004),,,1,66,34,
Balsas,Smith et al. (2003),14000,125.3,,,,
Ban Pakong,Smith et al. (2003),16600,602.2,,,,
Bandon bay,Smith et al. (2003),16060,33458.3,,,,
Bangpakong estuary,Smith et al. (2003),6570,219000,,,,
Baptiste lake-A1,Cooke and Prepas (1998),1.77,31,100,,,
Baptiste lake-A2,Cooke and Prepas (1998),2.34,39,100,,,
Baptiste lake-F1,Cooke and Prepas (1998),0.1,25,,100,,
Baptiste lake-F2,Cooke and Prepas (1998),0.3,46,,100,,
Bardello,Mosello et al. (2001),91.45,639.5,,,,
Barito,Smith et al. (2003),87000,1358.6,,,,
Barringer creek,Cairns and Lajtha (2005),1.06,1230,,100,,
Barron,Moss et al. (1992),1150,528.7,5,40,5,50
Barthe,Berendt and Opitz (2000),2.1,7.2,,,,
Bear creek,USA data,62.96,414.2,60,28,7,
Bedias creek,USA data,54.91,63.9,67,24,1,
Bedija at Rozalén,Alvarez-Cobelas (unpubl.),0.72,48.6,96,4,,0
Bedija near Horcajo de Santiago,Alvarez-Cobelas (unpubl.),1.18,10.6,91,8,,0
Bellinger,Smith et al. (2003),431,239444.4,,,,
Bemm,Victoria data,59,81.4,30,70,,
Bevano,Marchetti and Verna (1992),60.76,197.3,88,,,
Big Lost,USA data,94.9,83,0,31,0,
Big Sandy creek,USA data,212.26,241.5,43,21,2,
Big Walnut creek,USA data,125.99,152.7,83,14,1,
Birkenes,Likens et al. (1977),,,,100,,
Birs,Berendt and Opitz (2000),3.26,16.2,,,,
Biscuit brook,Lovett et al. (2000),9.28,963.2,,100,,
Black,USA data,1959.42,1528.4,6,93,0,
Blackstone,Nixon et al. (1995),763,624.4,,,,
Blackwater,USA data,377.56,238.5,31,61,3,
Bobr,Berendt and Opitz (2000),29.35,5,,,,
Bobs creek,USA data,22.93,533.1,14,86,0,
Boesio,Mosello et al. (2001),50.46,1121.3,,,,
Bois de Sioux,USA data,346.67,86.2,94,0,0,
Boston harbor,Smith et al. (2003),646.49,6276.6,,,,
Bothnian bay,Smith et al. (2003),100000,2777.8,,,,
Bothnian sea,Smith et al. (2003),92000,,,,,
Botorpsströmmen,NEST data,183.1,180.4,13,63,,3
Braço do Mota,Williams and Melack (1997a),0.48,2080,80,20,,
Brantas,Smith et al. (2003),13000,1359.7,,,,
