Catchment,Country,Year,ReferenceN,TN,NO3,NH4,DON,PON
Aare Oberhasli,Switzerland,,Berendt and Opitz (2000),,683,,,
Accotink creek,USA,1994,USA data,1757,993,108,,
Adige,Italy,1977,Provini et al. (1992),569,113,,,
Agnes,Australia,2004,Victoria data,508,278,,,
Ähtävänjoki,Finland,2000,NEST data,273,21,26,,
Aire,United Kingdom,1993,House et al. (1997),410,209,,,
Alarconcillo creek,Spain,2003,Alvarez-Cobelas (unpubl.),161,114,,,
Albany,Australia,1994 (1991-2000),McKergow et al. (2003),200,,,,
Alhambra creek,Spain,2003,Alvarez-Cobelas (unpubl.),31,34,,,
Aliakmon,Greece,1997,Voutsa et al. (2001),75,,,,
Alpenrhein,Switzerland,,Berendt and Opitz (2000),,934,,,
Altamaha,USA,1994,USA data,347,128,28,,
Alterälven,Sweden,2000,NEST data,274,9,14,,
Amarguillo near Camuñas,Spain,2003,Alvarez-Cobelas (unpubl.),88,9,42,,
Amarguillo upstream Urda,Spain,2003,Alvarez-Cobelas (unpubl.),90,57,,,
Amazon,Perú-Brazil-Colombia-Venezuela,,Lewis et al. (1999),606,168,31,194,242
Amguema,Russia,,Smith et al. (2003),,2,,,
Ammonoosuc,USA,1994,USA data,244,92,19,,
Amur,Russia,,Smith et al. (2003),,17,,,
Anabar,Nauru,,Smith et al. (2003),,2,,,
Andrews creek,USA,,Lewis (2002),357,9,14,247,58
Androscoggin,USA,,van Breemen et al. (2002),404,,,,
Angaw lagoon,Ghana,,Smith et al. (2003),,4,,,
Ängermanälven,Sweden,2000,NEST data,212,7,6,,
Annan,Australia,,Smith et al. (2003),,3,,,
Apalachicola,USA,,Fu and Winchester (1994),383,132,27,,
Apalachicola bay,USA,,Smith et al. (2003),,45,,,
Apalachicola near Sumatra,USA,1994,USA data,676,366,33,,
Apure,Venezuela,,Lewis et al. (1999),287,41,17,80,154
Argen,Germany,,Berendt and Opitz (2000),,3062,,,
Arno,Italy,,Smith et al. (2003),,122,,,
Ätran,Sweden,2000,NEST data,706,83,35,,
Aulencia at Guadarrama junction,Spain,2002,Alvarez-Cobelas (unpubl).,1648,852,523,,
Aulencia downstream Valmayor reservoir,Spain,2002,Alvarez-Cobelas (unpubl).,184,26,2,,
Aulencia near Valdemorillo,Spain,2002,Alvarez-Cobelas (unpubl).,492,201,21,,
Auli,Norway,1994 (1991-1994),Høyas et al. (1997),2650,,,,
Aurajoki,Finland,2000,NEST data,1208,161,24,,
Avon,United Kingdom,1995,Russell et al. (1998),2363,,,,
